T01 PHONE,PHONE_CASE,PHONE_CHARGER
T02 PHONE,HEADPHONE,SCREEN_PROTECTOR
T03 LAPTOP,LAPTOP_BAG,WIRELESS_MOUSE,LAPTOP_DESK
T04 HARD_DISK,PHONE_CHARGER,HEADPHONE
T05 PHONE,PHONE_CASE,SCREEN_PROTECTOR
T06 LAPTOP,HARD_DISK
T07 LAPTOP_DESK,WIRELESS_MOUSE,PHONE_CHARGER
T08 PHONE,PHONE_CASE
T09 LAPTOP,LAPTOP_BAG
T10 PHONE_CASE,SCREEN_PROTECTOR
T11 PHONE,HEADPHONE,SCREEN_PROTECTOR
T12 LAPTOP,WIRELESS_MOUSE
T13 LAPTOP,PHONE,PHONE_CHARGER
T14 PHONE,LAPTOP
T15 HARD_DISK,HEADPHONE
T16 LAPTOP,SCREEN_PROTECTOR
T17 PHONE,LAPTOP,LAPTOP_BAG
T18 PHONE,HEADPHONE
T19 PHONE,HARD_DISK
T20 LAPTOP_BAG,WIRELESS_MOUSE
